"customer_id,email,phone,region,Dateof birth"
"100230,xkzpl@email.mine,8613812345678,North,12/05/89"
"100231,qwerty@email.mine,8615012345678,West,3/15/1990"
"100232,asdfgh@email.mine,8613123456789,MVK,1985-7-23"
"100233,zxcvbn@email.mine,8615912345678,South,23/4/92"
"100234,poiuyt@email.mine,8613819876543,East,5-12-87"
"100195,lkjhgf@email.mine,8615023456789,North,1993/11/30"
"100196,mnbvcx@email.mine,8613124567890,West,15/8/88"
"100197,ytrewq@email.mine,8615934567890,MVK,8-7-1994"
"100198,qazwsx@email.mine,8613845678901,South,22/09/91"
"100199,edcrfv@email.mine,8615056789012,East,1990-12-5"
"100200,tgbnhy@email.mine,8613167890123,North,7/15/93"
"100156,ujmikol@email.mine,8615978901234,West,93-06-14"
"100156,plokij@email.mine,8613889012345,MVK,14/6/1993"
"100156,zaqxsw@email.mine,8615090123456,South,6/14/93"
"100204,cdewsx@email.mine,8613111234567,East,1988-9-21"
"100205,vfrbgt@email.mine,8615922345678,North,21/9/88"
"100206,nmjuyt@email.mine,8613833456789,West,9-21-1988"
"100207,hytrfd@email.mine,8615044567890,MVK,1987/4/12"
"100208,kiujyh@email.mine,8613155678901,South,12/04/87"
"100209,lopmki@email.mine,8615966789012,East,4/12/1987"
"100210,qscder@email.mine,8613877890123,North,1991-11-30"
"100211,wxvfrt@email.mine,8615088901234,West,30/11/91"
"100212,edcvfr@email.mine,8613199012345,MVK,11-30-1991"
"100213,rfvgyh@email.mine,8615901234567,South,1992/8/15"
"100214,tgbnju@email.mine,8613823456789,East,15/8/92"
"100215,yhnmki@email.mine,8615034567890,North,8-15-1992"
"100215,ujmikolp@email.mine,8613145678901,West,1995/10/25"
"100215,zaqwsxc@email.mine,8615956789012,MVK,25/10/95"
"100215,edcrfvt@email.mine,8613867890123,South,10-25-1995"
"100215,rfvbgyh@email.mine,8615078901234,East,95/10/25"
"100221,tgbnhyu@email.mine,8613189012345,North,1989-7-18"
"100222,yhnmju@email.mine,8615990123456,West,18/7/89"
"100223,ujmikol@email.mine,8613801234567,MVK,7/18/1989"
"100224,zaqxswc@email.mine,8615012345678,South,1994-5-22"
"100225,edcvfrt@email.mine,8613123456789,East,22/5/94"
"100226,rfvbgy@email.mine,8615934567890,North,5-22-1994"
"100227,tgbnhy@email.mine,8613845678901,West,1996/9/17"
"100228,yhnmju@email.mine,8615056789012,MVK,17/9/96"
"100229,ujmikol@email.mine,8613167890123,South,9-17-1996"
"100011,zaqxsw@email.mine,8615978901234,East,96/9/17"
"100012,edcrfv@email.mine,8613889012345,North,1986-12-8"
"100013,rfvbgt@email.mine,8615090123456,West,8/12/86"
"100014,tgbnhy@email.mine,8613111234567,MVK,12/8/1986"
"100015,yhnmju@email.mine,8615922345678,South,1997-3-19"
"100016,ujmikol@email.mine,8613833456789,East,19/3/97"
"100017,zaqxsw@email.mine,8615044567890,North,3-19-1997"
"100018,edcrfv@email.mine,8613155678901,West,1990/2/14"
"100019,rfvbgt@email.mine,8615966789012,MVK,14/2/90"
"100020,tgbnhy@email.mine,8613877890123,South,2-14-1990"
"100021,yhnmju@email.mine,8615088901234,East,90/2/14"
"100022,ujmikol@email.mine,8613199012345,North,1993-6-27"
"100023,zaqxsw@email.mine,8615901234567,West,27/6/93"
"100024,edcrfv@email.mine,8613823456789,MVK,6/27/1993"
"100025,rfvbgt@email.mine,8615034567890,South,1998-11-3"
"100026,tgbnhy@email.mine,8613145678901,East,3/11/98"
"100027,yhnmju@email.mine,8615956789012,North,11-3-1998"
"100028,ujmikol@email.mine,8613867890123,West,1984/8/9"
"100029,zaqxsw@email.mine,8615078901234,MVK,9/8/84"
"100030,edcrfv@email.mine,8613189012345,South,8-9-1984"
"100031,rfvbgt@email.mine,8615990123456,East,84/8/9"
"100032,tgbnhy@email.mine,8613801234567,North,1999-4-16"
"100033,yhnmju@email.mine,8615012345678,West,16/4/99"
"100034,ujmikol@email.mine,8613123456789,MVK,4/16/1999"
"100035,zaqxsw@email.mine,8615934567890,South,1991-10-7"
"100036,edcrfv@email.mine,8613845678901,East,7/10/91"
"100037,rfvbgt@email.mine,8615056789012,North,10-7-1991"
"100038,tgbnhy@email.mine,8613167890123,West,1985/1/28"
"100039,yhnmju@email.mine,8615978901234,MVK,28/1/85"
"100040,ujmikol@email.mine,8613889012345,South,1-28-1985"
"100041,zaqxsw@email.mine,8615090123456,East,85/1/28"
"100042,edcrfv@email.mine,8613111234567,North,1992-9-22"
"100043,rfvbgt@email.mine,8615922345678,West,22/9/92"
"100044,tgbnhy@email.mine,8613833456789,MVK,9/22/1992"
"100045,yhnmju@email.mine,8615044567890,South,1996-5-14"
"100046,ujmikol@email.mine,8613155678901,East,14/5/96"
"100047,zaqxsw@email.mine,8615966789012,North,5-14-1996"
"100048,edcrfv@email.mine,8613877890123,West,1987/12/3"
"100049,rfvbgt@email.mine,8615088901234,MVK,3/12/87"
"100050,tgbnhy@email.mine,8613199012345,South,12-3-1987"
"100051,yhnmju@email.mine,8615901234567,East,87/12/3"
"100052,ujmikol@email.mine,8613823456789,North,1994-7-18"
"100053,zaqxsw@email.mine,8615034567890,West,18/7/94"
"100054,edcrfv@email.mine,8613145678901,MVK,7/18/1994"
"100055,rfvbgt@email.mine,8615956789012,South,1990-2-11"
"100056,tgbnhy@email.mine,8613867890123,East,11/2/90"
"100057,yhnmju@email.mine,8615078901234,North,2-11-1990"
"100058,ujmikol@email.mine,8613189012345,West,1988/6/25"
"100059,zaqxsw@email.mine,8615990123456,MVK,25/6/88"
"100060,edcrfv@email.mine,8613801234567,South,6-25-1988"
"100061,rfvbgt@email.mine,8615012345678,East,88/6/25"
"100062,tgbnhy@email.mine,8613123456789,North,1995-3-8"
"100063,yhnmju@email.mine,8615934567890,West,8/3/95"
"100064,ujmikol@email.mine,8613845678901,MVK,3/8/1995"
"100065,zaqxsw@email.mine,8615056789012,South,1997-10-21"
"100066,edcrfv@email.mine,8613167890123,East,21/10/97"
"100067,rfvbgt@email.mine,8615978901234,North,10-21-1997"
"100068,tgbnhy@email.mine,8613889012345,West,1989/4/14"
"100069,yhnmju@email.mine,8615090123456,MVK,14/4/89"
"100070,ujmikol@email.mine,8613111234567,South,4-14-1989"
"100071,zaqxsw@email.mine,8615922345678,East,89/4/14"
"100072,edcrfv@email.mine,8613833456789,North,1993-8-27"
"100073,rfvbgt@email.mine,8615044567890,West,27/8/93"
"100074,tgbnhy@email.mine,8613155678901,MVK,8/27/1993"
"100075,yhnmju@email.mine,8615966789012,South,1998-1-10"
"100076,ujmikol@email.mine,8613877890123,East,10/1/98"
"100077,zaqxsw@email.mine,8615088901234,North,1-10-1998"
"100078,edcrfv@email.mine,8613199012345,West,1986/7/23"
"100079,rfvbgt@email.mine,8615901234567,MVK,23/7/86"
"100080,tgbnhy@email.mine,8613823456789,South,7-23-1986"
"100081,yhnmju@email.mine,8615034567890,East,86/7/23"
"100082,ujmikol@email.mine,8613145678901,North,1991-12-6"
"100083,zaqxsw@email.mine,8615956789012,West,6/12/91"
