customer_id,email,phone,region,date_of_birth
100011,zaqxsw@email.mine,8615978901234,East,1996-09-17
100012,edcrfv@email.mine,8613889012345,North,1986-08-12
100013,rfvbgt@email.mine,8615090123456,West,1986-12-08
100014,tgbnhy@email.mine,8613111234567,Mvk,1986-08-12
100015,yhnmju@email.mine,8615922345678,South,1997-03-19
100016,ujmikol@email.mine,8613833456789,East,1997-03-19
100017,zaqxsw@email.mine,8615044567890,North,1997-03-19
100018,edcrfv@email.mine,8613155678901,West,1990-02-14
100019,rfvbgt@email.mine,8615966789012,Mvk,1990-02-14
100020,tgbnhy@email.mine,8613877890123,South,1990-02-14
100021,yhnmju@email.mine,8615088901234,East,1990-02-14
100022,ujmikol@email.mine,8613199012345,North,1993-06-27
100023,zaqxsw@email.mine,8615901234567,West,1993-06-27
100024,edcrfv@email.mine,8613823456789,Mvk,1993-06-27
100025,rfvbgt@email.mine,8615034567890,South,1998-03-11
100026,tgbnhy@email.mine,8613145678901,East,1998-11-03
100027,yhnmju@email.mine,8615956789012,North,1998-03-11
100028,ujmikol@email.mine,8613867890123,West,1984-09-08
100029,zaqxsw@email.mine,8615078901234,Mvk,1984-08-09
100030,edcrfv@email.mine,8613189012345,South,1984-09-08
100031,rfvbgt@email.mine,8615990123456,East,1984-09-08
100032,tgbnhy@email.mine,8613801234567,North,1999-04-16
100033,yhnmju@email.mine,8615012345678,West,1999-04-16
100034,ujmikol@email.mine,8613123456789,Mvk,1999-04-16
100035,zaqxsw@email.mine,8615934567890,South,1991-07-10
100036,edcrfv@email.mine,8613845678901,East,1991-10-07
100037,rfvbgt@email.mine,8615056789012,North,1991-07-10
100038,tgbnhy@email.mine,8613167890123,West,1985-01-28
100039,yhnmju@email.mine,8615978901234,Mvk,1985-01-28
100040,ujmikol@email.mine,8613889012345,South,1985-01-28
100041,zaqxsw@email.mine,8615090123456,East,1985-01-28
100042,edcrfv@email.mine,8613111234567,North,1992-09-22
100043,rfvbgt@email.mine,8615922345678,West,1992-09-22
100044,tgbnhy@email.mine,8613833456789,Mvk,1992-09-22
